Baby Boy Names Registered in 2001                       A,
GOVERNMENT  SERVICES,
#,Boy  Names 
1,A
1,Aadam
1,Aadharsh
1,Aamar
1,Aamish
1,Aamon
1,Aariyan
68,Aaron
1,Aaron-Gabriel
1,Aatish
1,Abas
1,Abbas
2,Abd
1,Abdallah
1,Abdelrahman
1,Abdiel
1,Abdimalik
1,Abdirahman
1,Abdu
2,Abdul
1,Abdulahi
1,Abdul-Hadi
3,Abdullah
1,Abdullaha
2,Abdulrahman
1,Abdulsajad
1,Abdulwahid
1,Abdulweli
1,Abdurrahim
3,Abe
2,Abel
2,Abid
1,Abner
5,Abraham
1,Abraham-Earl
6,Abram
1,Abubakr
1,Ace
1,Achier
137,Adam
1,Adamo
1,Addam
8,Addison
1,Adeeb
1,Adeen
1,Adeev
1,Adem
1,Ademola
10,Aden
1,Aden-Lee
2,Adham
1,Adhurim
1,Adi
#,Boy  Names 
1,Adib
1,Adil
1,Adjrian
3,Adnan
1,Adolf
1,Adoli
1,Adonia
1,Adonis
20,Adrian
1,Adrian-John
1,Adriano
1,Adrianus
4,Adrien
2,Adyn
1,Aedan
2,Aeden
1,Aedon
1,Ahadullah
1,Ahlester
9,Ahmad
10,Ahmed
1,Ahtsham
109,Aidan
36,Aiden
1,Aiden-Rai
1,Aiden-Tyne
1,Aidon
1,Aidyn
1,Aiman
1,Airk
1,Airrick
1,Airson
1,Aizad
1,Ajapjot
1,Ajay
1,Ajaypa
1,Ajdin
1,Ajo
1,Akam
1,Akampal
2,Akash
1,Akashdeep
1,Akilan
1,Akira
2,Akram
1,Al
1,Aladin
1,Alain
1,Alaister
1,Alambir
6,Alan
1,Alaric
1,Alastair
#,Boy  Names 
1,Albasan
12,Albert
1,Alden
7,Alec
1,Alecs
1,Alecxander
1,Aleczander
1,Aleiandro
2,Alek
2,Aleksander
2,Alessandro
43,Alex
2,Alexandar
182,Alexander
1,A'Lex'ander
9,Alexandre
2,Alexandros
2,Alexei
1,Alexhander
2,Alexis
1,Alexzander
3,Alfred
1,Al-Haitham
29,Ali
1,Alicson
1,Alijah
1,Alim
1,Alissa
2,Alister
1,Aliuddin
1,Alixander
10,Allan
3,Allen
1,Allias
1,Alonzo
1,Alric
1,Alton
1,Alula
6,Alvin
1,Alvis
1,Aly
1,Alyk
1,Alymohamed
1,Aly-Solomone
1,Amaan
1,Amadou
1,Amair
4,Aman
1,Amar
1,Amardip
1,Amarvir
2,Ambrose
1,Ameen
#,Boy  Names 
1,Amer
3,Amin
1,Amir
3,Ammon
2,Amol
2,Amr
1,Amrinder
3,Anakin
1,Ânakin
1,Anal
1,Anand
1,Ananth
2,Andersen
1,Anderson
1,Andre
2,André
4,Andreas
1,Andrei
1,Andrej
3,Andrés
128,Andrew
1,Andrew-Adham
1,Andrew-Sukhoon
2,Andrey
1,Andrik
1,Andriy
18,Andy
1,Aneese
1,Anferny
4,Angad
1,Angel
5,Angelo
5,Angus
1,Anh
1,Aniano
3,Anil
1,Aninda
1,Anjo
1,Anmol
1,Anoop
1,Ansin
7,Anson
1,Antheius
1,Anthem
1,Anthoni
83,Anthony
2,Antoine
8,Anton
2,Antoni
14,Antonio
1,Antony
1,Apollo
1,Apolo
1,Aqil
#,Boy  Names 
1,Aran
1,Arash
1,Arashdeep
1,Arashdip
2,Araz
1,Arcturus
1,Arden
1,Ardewan
1,Ardy
1,Areeb
2,Ari
1,Arian
1,Arib
2,Aric
1,Arick
1,Arie
2,Ariel
1,Arif
1,Aristotle
1,Arjun
1,Arlin
6,Armaan
2,Arman
2,Armand
2,Armando
1,Armen
1,Armick
1,Armon
5,Arnold
1,Aron
1,Arrie
1,Arsh
1,Arshaan
1,Arshpreet
1,Arshroop
1,Arshvir
3,Arthur
2,Arvin
1,Arya
2,Aryan
1,Asa
1,Asem
1,Ashan
1,Ashdon
2,Asher
1,Ashley
1,Ashtar
1,Ashten
33,Ashton
3,Ashtyn
1,Ashwin
1,Asthyn
1,Aston
1,Ata
#,Boy  Names 
1,Athan
1,Athanasios
1,Athar
1,A'tien
1,Atlantic
1,Atlas
1,Atlen
1,Aubrey
2,August
1,Augustus
1,Aurie
1,Aury
1,Ausem
4,Austan
1,Austen
170,Austin
1,Austin-James
1,Austin-Noal
3,Austyn
1,Aven
18,Avery
1,Avishay
1,Avneet
1,Avram
4,Axel
1,Axile
18,Ayden
3,Aydin
1,Aylmer
1,Ayman
1,Ayoub
1,Ayrison
2,Ayrton
1,Aza
1,Azaan
1,Azan
2,Aziz
1,Ba
15,Bailey
1,Baily
1,Balkaran
1,Balnoor
1,Balraj
1,Baltazar
1,Baraa
1,Baran
1,Barkrar
1,Barnabas
2,Barret
1,Barrett
3,Barry
1,Bartek
1,Baruch
2,Bashir
#,Boy  Names 
1,Basil
2,Bassam
1,Baxter
1,Bayad
1,Baylee-Winter
2,Bayley
1,Bayly
1,Bean
5,Beau
1,Beck
1,Beckham
1,Beecher
1,Behnjamin
1,BehrHard
1,Belail
5,Belal
8,Ben
1,Benedict
181,Benjamin
1,Benjamine
1,Benjamin-James
1,Benjamin-Stephen
1,Benn
9,Bennett
1,Bennie
1,Bennjamin
1,Benno
2,Benny
1,Benoit
1,Benoît
6,Benson
3,Benton
1,Berg
1,Bergen
3,Bernard
1,Bernhard
1,Bernherd
1,Bert
1,Beynon
1,Bhavanveer
1,Biach
1,Bijar
5,Bilal
1,Bilal-Bassam
1,Bill
8,Billy
1,Billy-Jo
1,Binyomin
1,BJ
1,Bjorn
1,Björn
3,Blade
1,Blain
3,Blaine
#,Boy  Names 
7,Blair
5,Blaise
56,Blake
1,Blakelee
1,Blane
1,Blayden
1,Blaydon
1,Blayze
4,Blaze
2,Bo
2,Boaz
2,Bobby
1,Bodee
1,Bogdan
1,Bohun
1,Bokru
3,Boris
1,Bosco
1,Boss
2,Bowen
1,Bowin
4,Boyd
1,Boyevin
3,Brad
47,Braden
1,Bradford
39,Bradley
1,BRadley
1,Bradly
5,Bradon
1,Bradshaw
39,Brady
8,Bradyn
1,Brae
1,Braedan
31,Braeden
7,Braedon
1,Braedyn
12,Braiden
1,Braidie
1,Braidiey
1,Braidon
1,Bramm
1,Brandan
11,Branden
2,Brandin
1,Brandis
150,Brandon
1,Brandon-Lee
11,Brandt
4,Brandyn
1,Brannen
1,Brano
1,Branson
#,Boy  Names 
2,Brant
1,Brantley
4,Braxton
84,Brayden
23,Braydon
1,Braylan
1,Brayson
1,Brekan
51,Brendan
19,Brenden
2,Brendin
8,Brendon
1,Brendt
20,Brennan
1,Brenndan
10,Brennen
7,Brent
1,Brenton
4,Bret
2,Breton
45,Brett
2,Bretton
28,Brian
2,Brice
3,Bridger
1,Brigham
2,Brighton
1,Brisan
1,Brishna
1,Britt
2,Britton
1,Broc
18,Brock
3,Broden
1,Broderick
1,Brodevick
2,Brodey
1,Brodi
14,Brodie
42,Brody
1,Brogan
1,Broghan
1,Brolin
1,Bronsen
1,Brontay
1,Brooklyn
7,Bruce
2,Bruno
13,Bryan
4,Bryant
43,Bryce
3,Brycen
1,Brydan
6,Bryden
#,Boy  Names 
1,Brydon
1,Brylar
4,Bryn
1,Brysco
6,Bryson
1,Burak
1,Burk
2,Burke
1,Buzz
6,Byron
1,Cabe
4,Cache
1,Cachius
7,Cade
14,Caden
2,Cadence
1,Caeden
1,Caedon
1,Cael
4,Caelan
1,Caelen
1,Caelum
5,Caiden
1,Cailean
1,Caileb
1,Cailin
2,Cain
1,Caine
1,Caje
1,Caladin
4,Calder
1,Caldyn
18,Cale
90,Caleb
1,Calem
1,Calen
2,Calin
1,Callen
1,Callin
14,Callum
10,Calum
13,Calvin
1,Camaron
2,Camden
1,Camero
98,Cameron
3,Campbell
1,Camron
7,Carl
2,Carlin
1,Carlo
10,Carlos
1,Carlton
1,Carmine
#,Boy  Names 
5,Carsen
98,Carson
1,Cartar
124,Carter
1,Cartmen
1,Carum
1,Carver
1,Cary
11,Casey
3,Cason
1,Cass
1,Cassiel
1,Casson
1,Cat lin
1,Caulder
1,Caven
1,Cayde
8,Cayden
1,Cayl
1,Cayle
1,Cayleb
1,Caylem
1,Caylen
1,Cayne
1,Caysen
1,Cayson
1,Caz
1,Cedar
1,Cédric
1,Cedrick
1,Cedric-Lee
1,Ceejay
1,Cees
1,Ceilheb
1,Cesar
1,Cesare
3,Chace
21,Chad
1,Chahet
1,Chaiden
24,Chance
1,Chancelor
1,Chancillor
1,Chandan
5,Chandler
2,Chanse
1,Chao
23,Charles
3,Charlie
2,Chas
63,Chase
1,Chaseon
1,Chasm
1,Chay
#,Boy  Names 
4,Chayce
1,Chaydon
2,Chayton
1,Chaz
1,Chazdynn
1,Che
1,Chesley
2,Chester
1,Chet
2,Chetan
1,Cheuk
1,Chevy
2,Chi
6,Chris
1,Christen
1,Christiaan-Gerard
61,Christian
1,Christiano
1,Christien
1,Christofer
119,Christopher
1,Christopher-John
1,Christopher-Marc
1,Christorm
1,Chuk
1,Chukwudozie
1,Chun-Ket
1,Chuong
3,Cian
1,Ciprian
1,CJ
1,Clancy
1,Clanton
1,Clarence
3,Clark
1,Claus
6,Clay
1,Clayne
16,Clayton
1,Cleary
1,Cliffton
1,Clifton
1,Clint
1,Clinton
1,Clive
1,Clode
1,Clyde
1,Coady
1,Coal
2,Cobey
1,Cobie
3,Coby
2,Codie
97,Cody
#,Boy  Names 
1,Coel
7,Cohen
1,Cohlten
1,Colbey
95,Colby
1,Colby-James
1,Colby-Nicholas
162,Cole
2,Coleman
1,Coletan
3,Coleton
22,Colin
6,Collin
1,Colm
1,Colson
1,Colt
1,Coltan
18,Colten
2,Colter
4,Coltin
63,Colton
2,Colwyn
1,Colyn
1,Coman
1,Compton
1,Coner
1,Connall
1,Connell
11,Conner
3,Connery
1,Connis
136,Connor
5,Conor
8,Conrad
1,Conroy
21,Cooper
4,Corban
2,Corben
22,Corbin
1,Cordel
5,Cordell
5,Corey
1,Corlin
2,Cormac
1,Cormae
5,Cornelius
1,Corny
1,Corrigan
1,Corson
3,Cort
1,Corwin
1,Corwyn
10,Cory
1,Cosy
#,Boy  Names 
1,Cota
1,Coty
1,Coulson
1,Courage
1,Cowen
1,Coy
9,Craig
1,Craigan
1,Cree
1,Creed
1,Creedan
1,Creedin
1,Creedyn
1,Creelene
4,Cristian
3,Cruz
1,Crúz
1,Cuba
1,Cuinn
1,Curran
19,Curtis
1,Cutler
1,Cyler
1,Cynan
1,Cypp
1,Cyril
3,Cyrus
1,Cyruss
2,Dace
1,Dade
1,Dadeyn
1,Dadon
1,Daeden
