#                Baby Boy Names,
1,Abdilkareem
2,Abdirahman
1,Abdisalan
1,Abdi-Shakur
6,Abdul
1,Abdul-Aziz
1,Abdul-Fattah
1,Abdulhakim
1,Abdulhaseeb
1,Abdulhay
1,Abdulkadir
1,Abdulkarim
18,Abdullah
2,Abdullahi
1,Abdulmelik
1,Abdulqadir
1,Abdul-Raheem
1,Abdulrahim
3,Abdulrahman
1,Abdulrahmen
1,Abdulrehman
1,Abdul-Shafi
1,Abdulwadood
2,Abdulwahid
1,Abdul-Wasay
1,Abdumalik
1,Abdur
3,Abdurahman
1,Abdur-Rehman
2,Abe
14,Abel
1,Abell
1,Abenezer
1,Aber
2,Abhay
1,Abhayveer
1,Abhijay
2,Abhijeet
5,Abhijot
5,Abhinav
1,Abhiraaj
1,Abhiraj
1,Abhishek
1,Abid
1,Abidan
1,Abidemi
1,Abiel
1,Abiner
1,Able
#                Baby Boy Names,
1,A.J.
1,Aaban
1,Aabir
4,Aaden
1,Aadheen
1,Aadil
1,Aaditya
1,Aadyn
2,Aahil
1,Aakarsh
1,Aakashdeep
1,Aakif
1,Aamer
1,Aamir
1,Aamr
1,Aanish
1,Aarash
11,Aarav
1,Aaren
1,Aaric
2,Aariz
2,Aarnav
56,Aaron
3,Aarush
5,Aaryan
1,Aashar
1,Aashman
1,Aaven
1,Aawa'Kaapikssi
1,Aayan
1,Aaydan
1,Aazim
1,Abaan
1,Abadat
1,Abbas
2,Abdalla
1,AbdAllah
1,Abdallah
1,Abdalrhman
1,Abdel
1,Abdelhadi
1,Abdell
2,Abdelrahman
1,Abdelrhman
1,Abdelwahed
1,Abderahmane
2,Abdi
2,Abdihakim
1,Abdijabar
#                Baby Boy Names,
1,Abotalib
10,Abraham
1,Abrahim
3,Abram
1,Absolom
1,Abu
1,Abubakar
1,Abul
1,Abuzar
1,Abykai
1,Acacious
4,Ace
1,Acey
1,Achien
3,Achilles
1,Adain
114,Adam
1,Adam-Saghar-Kenneth
2,Adan
5,Addison
1,Addonaye
1,Adeb
1,Adedipo
1,Adeel
1,Adeem
1,Adefemi
1,Adejuwon
1,Adelyn
2,Adem
10,Aden
1,Adeo
1,Adeon
1,Adham
1,Adi
2,Adil
2,Adin
1,Adison
1,Adiyat
1,Adl
3,Adler
1,Adley
2,Adnan
1,Adolai
1,Adom
1,Adonai
1,Adongo
2,Adonias
1,Adonijah
2,Adonis
#                Baby Boy Names,
2,Aiman
1,Aimen
1,Airyn
1,Aiven
2,AJ
1,Ajai
4,Ajay
3,Ajeet
1,Ajit
1,Akaalveer
1,Akaash
1,Akain
2,Akal
2,Akash
2,Akashdeep
1,Akha
1,Akhil
1,Akili
1,Akio
1,Akiro
1,Akok
1,Akol
3,Akram
1,Aksel
1,Akshar
1,Akwamfon
1,Ala
1,Alaire
9,Alan
3,Alaric
1,Alasdair
1,Alastair
1,Alb
1,Albersun
18,Albert
1,Alborz
1,Aldan
3,Alden
1,Aldin
1,Aldo
2,Aldrei
2,Aldric
1,Aldrich
1,Alduin
10,Alec
1,Aleczander
2,Aleem
7,Alejandro
2,Alek
#                Baby Boy Names,
1,Ador
1,Adreiahn
1,Adrew
