#         Baby Girl Names,
1,Aad
2,Aahna
22,Aaliyah
1,Aaliyha
1,Aallishia
1,Aamna
1,Aamvi
1,Aanya
1,Aapanii
1,Aara
2,Aaralyn
1,Aarfah
1,Aashika
1,Aatika
1,Aayan
1,Aayla
1,Aayushi
1,Abagael
4,Abagail
1,Abaleen
1,Abbagail
2,Abbee
1,Abbegail
11,Abbey
1,Abbi
6,Abbie
8,Abbigail
2,Abbigaile
3,Abbigale
1,Abbisale
39,Abby
1,AbbyGail
5,Abbygail
1,Abbygale
1,Abbygayle
1,Abby-Lyn
1,Abby-Rae
4,Abeer
2,Abegail
1,Abeni
2,Abia
1,Abida
2,Abigael
171,Abigail
1,Abigail-Rose
3,Abigale
5,Abigayle
1,Abigiel
1,Abiha
#         Baby Girl Names,
1,Abijah
1,Abira
1,Abrar
1,Abriana
1,Abuk
1,Abut
1,Abyan
2,Acacia
2,Acadia
1,Accalia
1,Acelynn
1,Achalla
2,Achol
4,Ada
1,Adacyn
1,Adaeze
1,Adahlynne
1,Adaira
1,Adalia
3,Adara
1,Adassa
1,Adasyn
1,Adayz
3,Addie
1,Addilyn
1,Addisen
127,Addison
1,Addisson
5,Addisyn
12,Addyson
1,Adel
1,Adela
4,Adelaide
4,Adele
1,Adelina
5,Adeline
1,Adell
1,Adellaide
1,Adelle
1,Adelyn
1,Adelynn
1,Adesuwa
1,Adetutu
1,Adhel
4,Adia
5,Adina
2,Adisen
11,Adison
1,Adisyn
#         Baby Girl Names,
1,Adom
1,Adreanna
5,Adria
3,Adrian
12,Adriana
14,Adrianna
3,Adrianne
1,Adriene
4,Adrienne
1,Adrijanna
1,Adrina
1,Adrinna
1,Adrionna
1,Ady
1,Adysen
6,Adyson
1,Aedan
1,Aeden
1,Aedhyn
1,Aeisha
1,Aekam
1,Aella
1,Aericka
2,Aeryn
1,Aevaeh
1,Afeefa
1,Afifa
1,Afiyah
1,Afnan
1,Afrah
1,Afrika
2,Afton
1,Agamjot
2,Aganetha
4,Agatha
1,Aguil
1,Agustina
1,Ahlora
1,Ah-Ra
2,Aida
2,Aidan
1,Aiden
4,Aidyn
1,Aidynn
1,Aijha
1,Aika
1,Aila
1,Ailena
2,Ailene
#         Baby Girl Names,
1,Ailey
1,Ai-Li
1,Ailie
3,Ailish
10,Aimee
1,Aimée
2,Aimee-Rae
1,Aina
2,Ainslee
1,Ainsleigh
26,Ainsley
1,Ainsley-Lynn
1,Ainslie
1,Aira
2,Aireanna
1,Airi
1,Aise
18,Aisha
1,Aisha-Sakhawat
1,Aishlin
1,Aisia
1,Aisinay
5,Aislin
3,Aisling
1,Aislinn
3,Aislyn
3,Aislynn
1,Aissatou
1,Aiva
1,Aivery
1,Aivia
1,Aivry
1,Aiwen
4,Aiyana
1,Aiyla
1,Aiylya
2,Aiza
1,Aizah
1,Aiza-Marie
1,Aja
1,Ajak
1,Ajayha
1,Ajessni
1,Ajia
1,Ajla
1,Ajulo
1,Akaelyn
1,Akaia
1,Akam
#         Baby Girl Names,
1,Akasha
1,Akeira
1,Akera
1,Aki
1,Akima
2,Akira
1,Akisa
1,Akisha
1,Akiyah
1,Akoi
1,Akon
1,Akshita
1,Akuage
1,Aku-Miishee
1,Akuol
1,Akur
1,Akylis
1,Alaa
2,Alaina
1,Alamea
16,Alana
1,Alanah
13,Alanna
3,Alannah
2,Alara
1,Alast
1,Alat
1,Alaud
1,Alauna
1,Alayah
7,Alayna
1,Alba
1,Alberta
1,Albertina
1,Albertine
1,Alcina
3,Alea
3,Aleah
1,Alec
2,Aleeah
1,Aleeha
1,Aleen
8,Aleena
1,Aleera
1,Aleesa
1,Aleeshya
3,Aleeza
1,Aleiah
1,Aleida
#         Baby Girl Names,
1,Aleigha
1,Aleina
3,Aleisha
4,Alejandra
1,Alek
1,Aleksa
1,Aleksandra
8,Alena
1,Alenya
1,Alese
2,Alessa
6,Alessandra
3,Alessia
1,Alethea
8,Alex
51,Alexa
1,Alexah
61,Alexandra
1,Alexandra-Kate
2,Alexandrea
24,Alexandria
1,Alexandrina
1,Alexandrite
1,Alexandrya
3,Alexi
9,Alexia
2,Alexie
104,Alexis
1,Alexsis
3,Alexus
1,Alexys
1,Aleya
1,Aleysiah
1,Alfreda
